Dialogue ID,Chapter ID,Character ID,Dialogue
1,1,4,Hagrid is bringing him
2,1,7,Mum help help me
3,1,4,I'm afraid so Professor The good and the bad
4,1,7,And the boy
5,1,4,Hagrid is bringing him
6,1,7,Do you think it wise to trust Hagrid with something as important as this
7,1,4,Ah Professor I would trust Hagrid with my life
8,1,5,Professor Dumbledore Sir Professor McGonagall
9,1,4,No problems I trust Hagrid
17,2,32,Up Get up  Now
18,2,31,Wake up cousin We're going to the zoo
19,2,32,Oh here he comes the birthday boy
20,2,21,Happy birthday son
21,2,32,Why don't you just cook the breakfast and try not to burn anything
22,2,1,Yes Aunt Petunia
47,2,32,AHH
48,2,31,Mum help Help me
50,3,32,It's all right It's all right
52,3,21,What happened
54,3,21,There's no such thing as magic
56,3,21,Caveat Smeltona Proudest moment of my life
57,3,1,Will I have to wear that too
58,3,32,What you Go to Smeltings
61,3,1,But that's Dudley's old uniform It'll fit me like bits of old Elephant skin
82,4,1,Make a wish Harry
85,4,21,I demand that you leave at once sir You are breaking and entering
91,4,5,It's not every day that your young man turns eleven now is it
92,4,1,Excuse me who are you
94,4,1,Sorry no
95,4,5,No Blimey Harry didn't you ever wonder where your mum and dad learned it all
97,4,5,You're a wizard Harry
120,5,1,First year students will require: three sets of work robes one wand
121,5,5,Essential bit of equipment Harry
122,5,1,One pair of dragon-hide gloves  Hagrid do they mean for a real dragon
123,5,5,Well they don't mean for a penguin do they? Heh Crikey but not a dragon
124,5,1,But you like a dragon
125,5,5,Fast and misunderstood beasts Harry Fast and misunderstood
143,6,1,But Hagrid how am I to pay for all this? I haven't any money
145,6,1,Uh Hagrid what exactly are these things
147,6,130,And does Mr Harry Potter have his key
149,6,130,Very well
150,6,30,Vault  Lamp please  Key please
151,6,5,Didn't think your mum and dad would leave you with nothing now did ya
157,7,1,I still needa wand
159,7,1,Hello Hello
161,7,1,Sorry but what's curious
163,7,1,Andwho owned that wand
165,7,5,Harry Harry Happy birthday
167,8,5,You all right Harry You seem very quiet
170,8,1,Maybe if you wrote it down
171,8,5,No I can't spell it All right  Voldemort
175,8,1,Me Voldemort tried to killme
177,8,1,What happened toto You-Know Who
183,9,149,Right on your left ma'am
184,9,1,Excuse me sir Can you tell me where I might find Platform
185,9,149,Think you're being funny do ya
186,9,26,It's the same year after year Always packed with Muggles of course
187,9,1,Muggles
188,9,26,Come on Platform this way All right Percy you first
189,9,26,Fred you next
190,9,19,He's not Fred I am
197,10,2,Excuse me do you mind Everywhere else is full
198,10,1,No not at all
199,10,2,I'm Ron by the way Ron Weasley
200,10,1,I'm Harry Harry Potter
201,10,2,So-so it's true I mean do you really have thethe
205,10,2,Wicked
206,10,140,Anything off the trolley dears
207,10,2,No thanks I'm all set
208,10,1,We'll take the lot
210,10,1,Bertie Bott's Every Flavour Beans?
212,10,1,These aren't real chocolate frogs are they?
214,10,1,I got Dumbledore
230,11,5,Hello Harry
231,11,1,Hey Hagrid
232,11,2,Whoaa
233,11,5,Right then This way to the boats Come on now follow me
245,12,3,Oh no Okay relax
246,12,2,Mental that one I'm telling you
247,12,128,Ah right thenhmmright OkayGryffindor
248,12,7,Draco Malfoy
249,12,128,SLYTHERIN
250,12,2,There isn't a witch or wizard who went bad who wasn't in Slytherin
266,13,7,Your attention please
267,13,4,Let the feastbegin
268,13,1,Wow
270,13,1,Say Percy who's that teacher talking to Professor Quirrell
271,13,37,Oh that's Professor Snape head of Slytherin house
299,14,2,Whew we made it Can you imagine the look on McGonagall's face if we were late
300,14,2,That was bloody brilliant
302,14,1,We got lost
303,14,7,Then perhaps a map? I trust you don't need one to find your seats
305,14,1,I don't know sir
306,14,6,And what is the difference between monkshood and wolfbane?
323,15,154,Up
324,15,1,Wow
325,15,12,Up
326,15,50,With feeling
327,15,3,Up Up Up Up
328,15,2,Up  Ooh  Shut up Harry
330,15,10,Oh
378,16,2,I'm telling you it's spooky She knows more about you than you do
379,16,1,Who doesn't?
380,16,2,Ahh
381,16,1,What's happening?
382,16,3,The staircases change remember?
383,16,1,Let's go this way
384,16,2,Before the staircase moves again
385,16,1,Does anyone feel likewe shouldn't be here?
410,17,1,I think so What are those?
414,17,1,I like this ball
415,17,46,Ah you like it now Just wait It's wicked fast and damn near impossible to see
416,17,1,What do I do with it?
417,17,46,You catch it before the other team's seeker You catch this the game is over You catch this Potter and we win
418,17,1,Whoa
420,17,136,The swish and flick
434,18,1,Where's Hermione?
438,18,134,Hufflepuff this way
439,18,138,Stay together
440,18,37,Gryffindors keep up please And stay alert
441,18,1,How could a troll get in?
442,18,2,Not by itself Trolls are really stupid Probably people playing jokes  What?
443,18,1,Hermione She doesn't know
472,19,2,Take a bit of toast mate go on
473,19,3,Ron's right Harry You're gonna need your strength today
474,19,1,I'm not hungry
475,19,6,Good luck today Potter 
